original,standard,fluency
The gravity of the situation which confronts the world today necessitates my appearance before a joint session of the Congress.,The gravity of the crisis that faces the world today includes my attendance before a congressional joint session.,The gravity of the situation facing the world today necessitates my appearance before the joint session of the Congress.
The foreign policy and the national security of this country are involved.,The country's foreign policy and national security are concerned.,This country's foreign policy and national security are concerned.
"One aspect of the present situation, which I wish to present to you at this time for your consideration and decision, concerns Greece and Turkey.","One element of the current situation, which I wish to pose for your consideration and decision at this time, concerns Greece and Turkey.","One aspect of the current situation, which I would like to present to you at this time for your consideration and decision, concerns Greece and Turkey."
The United States has received from the Greek Government an urgent appeal for financial and economic assistance.,The United States has issued an urgent request for political and economic assistance from the Greek Government.,The United States has received an urgent appeal from the Greek Government for financial and economic assistance.
Preliminary reports from the American Economic Mission now in Greece and reports from the American Ambassador in Greece corroborate the statement of the Greek Government that assistance is imperative if Greece is to survive as a free nation.,Preliminary reports from the American Economic Mission now in Greece and reports from the United States Ambassador in Greece corroborate the Greek Government's assertion that assistance is imperative if Greece is to survive as a free country.,Preliminary reports from the American Economic Mission to Greece and reports from the American Ambassador to Greece confirm the Greek Government's statement that assistance is essential if Greece is to survive as a free nation.
I do not believe that the American people and the Congress wish to turn a deaf ear to the appeal of the Greek Government.,I do not think the American people and Congress want to turn a deaf ear to the Greek Government's appeal.,I do not believe that the American people and the Congress wish to turn a deaf ear to the Greek Government's appeal.
Greece is not a rich country.,Greece is by no means a wealthy country.,Greece isn't a rich country.
Lack of sufficient natural resources has always forced the Greek people to work hard to make both ends meet.,Lack of sufficient natural resources has always forced the Greek people to work hard to reach both ends.,The lack of sufficient natural resources has always forced the Greek people to work hard to meet both ends.
"Since 1940, this industrious and peace loving country has suffered invasion, four years of cruel enemy occupation, and bitter internal strife.","This industrious and peace-loving country has suffered invasion since 1940, four years of brutal occupation by the enemy, and bitter internal strife.","Since 1940, this laborious and peace-loving country has suffered invasion, four years of cruel enemy occupation, and bitter internal strife."
"When forces of liberation entered Greece they found that the retreating Germans had destroyed virtually all the railways, roads, port facilities, communications, and merchant marine.","When liberation forces invaded Greece they found that almost all of the railways, bridges, port facilities, communications, and merchant marine had been destroyed by the retreating Germans.","When the liberation forces entered Greece, they found that the retreating Germans had destroyed virtually all railroads, roads, port facilities, communications, and the merchant navy."
More than a thousand villages had been burned.,More than 1000 villages were burnt.,More than a thousand villages had been burned down.
Eighty-five per cent of the children were tubercular.,Of the children 85 percent were tubercular.,Eighty-five per cent of children were tubers.
"Livestock, poultry, and draft animals had almost disappeared.","Livestock, poultry, and draft animals were nearly gone.","Livestock, poultry and draft animals were almost gone."
Inflation had wiped out practically all savings.,Inflation had practically wiped out all savings.,Inflation had wiped out almost all of the savings.
"As a result of these tragic conditions, a militant minority, exploiting human want and misery, was able to create political chaos which, until now, has made economic recovery impossible.","As a result of these tragic circumstances, a radical minority, manipulating human desire and suffering, has been able to generate political instability that has made economic recovery impossible until now.","As a result of these tragic conditions, a militant minority, exploiting human want and misery, was able to create political chaos that, until now, has made economic recovery impossible."
Greece is today without funds to finance the importation of those goods which are essential to bare subsistence.,"Today, Greece lacks funds to finance the importation of those products that are necessary for bare subsistence.","Today, Greece has no funds to finance the importation of those goods which are essential to the existence of bare subsistence."
Under these circumstances the people of Greece cannot make progress in solving their problems of reconstruction.,In these conditions the Greek people can not make progress in overcoming their reconstruction problems.,"Under these circumstances, the people of Greece can not make progress in resolving their reconstruction problems."
"Greece is in desperate need of financial and economic assistance to enable it to resume purchases of food, clothing, fuel and seeds.","Greece urgently needs financial and economic help to allow it to resume food, clothes, fuel and seed purchases.","Greece is in desperate need of financial and economic assistance to enable it to resume purchases of food, clothing, fuel and seed."
These are indispensable for the subsistence of its people and are obtainable only from abroad.,These are indispensable for its people's livelihood and can only be purchased from abroad.,They are indispensable for the subsistence of its people and can only be obtained from abroad.
"Greece must have help to import the goods necessary to restore internal order and security, so essential for economic and political recovery.","Greece must be supported in importing the goods required to restore internal order and stability, which are so important to economic and political recovery.","Greece must help to import the goods necessary to restore internal order and security, which are essential for economic and political recovery."
"The Greek Government has also asked for the assistance of experienced American administrators, economists and technicians to insure that the financial and other aid given to Greece shall be used effectively in creating a stable and self-sustaining economy and in improving its public administration.","The Greek Government has also sought the assistance of skilled American managers, economists and technicians to ensure that the financial and other aid provided to Greece can be used successfully to establish a stable and self-sustaining economy and to strengthen its governance.","The Greek Government has also requested assistance from experienced American administrators, economists and technicians to ensure that the financial and other assistance granted to Greece is used effectively to create a stable and self-sustaining economy and to improve its public administration."
"The very existence of the Greek state is today threatened by the terrorist activities of several thousand armed men, led by Communists, who defy the government's authority at a number of points, particularly along the northern boundaries.","Today, the very existence of the Greek state is threatened by the terrorist activities of several thousand armed people, led by Communists, who defy the authority of the government at a number of points, particularly along the northern frontiers.","The very existence of the Greek state is now threatened by the terrorist activities of several thousand armed men, led by Communists, who are defying the government's authority at a number of points, particularly along the northern borders."
"A Commission appointed by the United Nations security Council is at present investigating disturbed conditions in northern Greece and alleged border violations along the frontier between Greece on the one hand and Albania, Bulgaria, and Yugoslavia on the other.","A UN Security Council committee is currently investigating chaotic conditions in northern Greece and possible border breaches along the border between Greece on the one side and Albania, Bulgaria and Yugoslavia on the other.","The Commission appointed by the United Nations Security Council is currently investigating disturbed conditions in northern Greece and alleged border violations along the border between Greece on the one hand and Albania, Bulgaria and Yugoslavia on the other."
"Meanwhile, the Greek Government is unable to cope with the situation.","The Greek Government, meanwhile, can not deal with the crisis.","In the meantime, the Greek Government is unable to cope with the situation."
The Greek army is small and poorly equipped.,The limited and poorly trained Greek Army.,The Greek army is small and under-equipped.
It needs supplies and equipment if it is to restore the authority of the government throughout Greek territory.,"Unless government authority is to be restored in Greek territory, it requires resources and equipment.",It needs supplies and equipment if it is to restore the authority of the government throughout the territory of Greece.
Greece must have assistance if it is to become a self-supporting and self-respecting democracy.,Greece needs help if it is to become a society which is self-supporting and self-respecting.,Greece needs assistance if it is to become a self-sustaining and self-respecting democracy.
The United States must supply that assistance.,The United States must provide the support.,The United States must provide this assistance.
We have already extended to Greece certain types of relief and economic aid but these are inadequate.,We have already extended some forms of relief and economic assistance to Greece but these are inadequate.,"Some types of relief and economic aid have already been extended to Greece, but they are inadequate."
There is no other country to which democratic Greece can turn.,There is no other nation democratic for Greece to move to.,There is no other country that democratic Greece can turn to.
No other nation is willing and able to provide the necessary support for a democratic Greek government.,No other nation is willing and capable of providing the resources required for a democratic Greek government.,No other nation is willing and able to provide the necessary support for the democratic government of Greece.
"The British Government, which has been helping Greece, can give no further financial or economic aid after March 31.","After March 31, the British Government, which has supported Greece, can not offer any more financial or economic assistance.","The British Government, which helped Greece, will not be able to grant any further financial or economic assistance after 31 March."
"Great Britain finds itself under the necessity of reducing or liquidating its commitments in several parts of the world, including Greece.","Great Britain finds itself in many parts of the world, including Greece, under the pressure to minimize or liquidate its obligations.","The United Kingdom is faced with the need to reduce or liquidate its obligations in several parts of the world, including Greece."
We have considered how the United Nations might assist in this crisis.,We've been looking at how the United Nations could help in this crisis.,We have been looking at how the United Nations could help in this crisis.
But the situation is an urgent one requiring immediate action and the United Nations and its related organizations are not in a position to extend help of the kind that is required.,But the situation is an urgent one that needs immediate intervention and the United Nations and its related organizations are not in a position to provide the kind of assistance that is required.,"However, there is an urgent need for immediate action and the United Nations and its related organizations are not in a position to extend the assistance needed."
"It is important to note that the Greek Government has asked for our aid in utilizing effectively the financial and other assistance we may give to Greece, and in improving its public administration.",It is necessary to remember that the Greek Government has requested our assistance to make efficient use of the financial and other assistance that we can offer to Greece and to strengthen its public administration.,It is important to note that the Greek Government has asked for our assistance in the effective use of the financial and other assistance that we may provide to Greece and in the improvement of its public administration.
"It is of the utmost importance that we supervise the use of any funds made available to Greece; in such a manner that each dollar spent will count toward making Greece self-supporting, and will help to build an economy in which a healthy democracy can flourish.","It is of the utmost importance that we monitor the use of any funds made available to Greece; in such a way that every dollar spent can contribute towards making Greece self-supporting, which will help create an economy where a stable democracy will flourish.",It is of the utmost importance that we monitor the use of any funds made available to Greece; in such a way that every dollar spent will count towards self-sustaining Greece and help to build an economy in which a healthy democracy can flourish.
No government is perfect.,There's no perfect Government.,There's no government perfect.
"One of the chief virtues of a democracy, however, is that its defects are always visible and under democratic processes can be pointed out and corrected.","However, one of the greatest virtues of a democracy is that its weaknesses are still apparent and can be pointed out and fixed under democratic processes.","One of the main virtues of democracy, however, is that its shortcomings are always visible and can be pointed out and corrected in the context of democratic processes."
The Government of Greece is not perfect.,Greece's Governance isn't fine.,The Greek Government is not perfect.
Nevertheless it represents eighty-five per cent of the members of the Greek Parliament who were chosen in an election last year.,"Nonetheless, it represents eighty-five per cent of the Greek parliament members who were chosen in last year's election.","Nevertheless, it represents eighty-five per cent of the members of the Greek Parliament who were elected last year."
"Foreign observers, including 692 Americans, considered this election to be a fair expression of the views of the Greek people.",Global observers including 692 Americans saw this election as a rational reflection of the Greek people's views.,"Foreign observers, including 692 Americans, considered this election to be a fair expression of the opinion of the Greek people."
The Greek Government has been operating in an atmosphere of chaos and extremism.,The Greek State functioned in an environment of instability and extremism.,The Greek Government has been operating in a climate of chaos and extremism.
It has made mistakes.,He made mistakes.,It's made mistakes.
The extension of aid by this country does not mean that the United States condones everything that the Greek Government has done or will do.,This country's extension of aid does not mean that the United States condones everything the Greek Government has done or will do.,The extension of aid by that country does not mean that the United States agrees with everything the Greek Government has done or is going to do.
"We have condemned in the past, and we condemn now, extremist measures of the right or the left.",We have condemned right or left-wing extremist actions in the past and we condemn them now.,"In the past, we have condemned, and now we are condemning, extreme right-wing or left-wing measures."
"We have in the past advised tolerance, and we advise tolerance now.","We have recommended tolerance in the past, and we now advise tolerance.","We have recommended tolerance in the past, and we now advise tolerance."
"Greece's neighbor, Turkey, also deserves our attention.","Neighbor of Greece, Goose, deserves our attention too.","The neighbor of Greece, Turkey, also deserves our attention."
The future of Turkey as an independent and economically sound state is clearly no less important to the freedom-loving peoples of the world than the future of Greece.,Turkey's future as an independent and economically stable state is obviously no less important for the world's liberally-loving peoples than Greece's future.,Turkey's future as an independent and economically stable state is obviously no less important for the world's liberally-loving peoples than Greece's future.
The circumstances in which Turkey finds itself today are considerably different from those of Greece.,The conditions in which Turkey finds itself today vary considerably from Greece's.,The circumstances under which Turkey finds itself today are considerably different from those of Greece.
Turkey has been spared the disasters that have beset Greece.,Turkey was spared the catastrophes that beset Greece.,Turkey has been spared the disasters that have struck Greece.
"And during the war, the United States and Great Britain furnished Turkey with material aid.",Even after the war the U.S. even Great Britain provided military assistance to Turkey.,Even after the war the U.S. even Great Britain provided military assistance to Turkey.
"Nevertheless, Turkey now needs our support.","Nonetheless, Turkey now needs our help.","Nonetheless, Turkey now needs our help."
Since the war Turkey has sought financial assistance from Great Britain and the United States for the purpose of effecting that modernization necessary for the maintenance of its national integrity.,Turkey has been seeking financial assistance from Great Britain and the United States since the war in order to carry out the modernization necessary to preserve its national integrity.,"Since the war, Turkey has sought financial assistance from the United Kingdom and the United States to bring about the modernisation needed to maintain its national integrity."
That integrity is essential to the preservation of order in the Middle East.,This integrity is essential to the preservation of order in the Middle East.,This integrity is essential to the preservation of order in the Middle East.
"The British government has informed us that, owing to its own difficulties can no longer extend financial or economic aid to Turkey.",The British Government has told us that it can no longer extend political or economic assistance to Turkey due to its own difficulties.,The British Government has informed us that it can no longer extend financial or economic aid to Turkey due to its own difficulties.
"As in the case of Greece, if Turkey is to have the assistance it needs, the United States must supply it.","As in the case of Greece, if Turkey is to have the assistance it wants, the United States would have to provide it.","As in the case of Greece, if Turkey is to have the assistance it wants, the United States would have to provide it."
We are the only country able to provide that help.,We are the only country in a position to provide the support.,We are the only country in a position to provide the support.
"I am fully aware of the broad implications involved if the United States extends assistance to Greece and Turkey, and I shall discuss these implications with you at this time.",I am well aware of the specific implications if the United States extends assistance to Greece and Turkey and at this time I shall discuss these consequences with you.,"I am fully aware of the broad implications of extending assistance to Greece and Turkey by the United States, and I shall discuss these implications with you at this time."
One of the primary objectives of the foreign policy of the United States is the creation of conditions in which we and other nations will be able to work out a way of life free from coercion.,One of the primary objectives of the United States 'foreign policy is to create the conditions under which we and other nations will be able to work out a way of life free from coercion.,One of the primary objectives of the United States 'foreign policy is to create the conditions under which we and other nations will be able to work out a way of life free from coercion.
This was a fundamental issue in the war with Germany and Japan.,It was a central issue in the war with Germany and Japan.,This was a key issue in the war with Germany and Japan.
"Our victory was won over countries which sought to impose their will, and their way of life, upon other nations.","Our victory was achieved over countries that tried to force their will on other nations, and their way of life.","Our victory was achieved over countries that tried to force their will on other nations, and their way of life."
"To ensure the peaceful development of nations, free from coercion, the United States has taken a leading part in establishing the United Nations, The United Nations is designed to make possible lasting freedom and independence for all its members.","To ensure peaceful, coercion-free creation of nations, the United States has played a leading role in creating the United Nations, the United Nations is designed to allow all its members to enjoy enduring freedom and independence.","In order to ensure the peaceful development of nations, free from coercion, the United States has played a leading role in the establishment of the United Nations, and the United Nations is designed to make it possible for all its members to enjoy lasting freedom and independence."
"We shall not realize our objectives, however, unless we are willing to help free peoples to maintain their free institutions and their national integrity against aggressive movements that seek to impose upon them totalitarian regimes.","Nevertheless, we will not realize our goals unless we are willing to help free peoples preserve their free institutions and national dignity against aggressive movements which aim to impose totalitarian regimes on them.","However, we will not realize our objectives unless we are willing to help free people to maintain their free institutions and their national integrity against aggressive movements that seek to impose totalitarian regimes on them."
"This is no more than a frank recognition that totalitarian regimes imposed on free peoples, by direct or indirect aggression, undermine the foundations of international peace and hence the security of the United States.","This is little more than a blunt acknowledgment that authoritarian regimes imposed by overt or indirect violence on free peoples threaten the foundations of international peace, and therefore the stability of the US.","This is nothing more than a frank recognition that the totalitarian regimes imposed on free peoples, through direct or indirect aggression, undermine the foundations of international peace and therefore the security of the United States."
The peoples of a number of countries of the world have recently had totalitarian regimes forced upon them against their will.,"In recent times, the peoples of a number of countries in the world have been forced by totalitarian regimes against their will.","In recent times, the peoples of a number of countries in the world have been forced by totalitarian regimes against their will."
"The Government of the United States has made frequent protests against coercion and intimidation, in violation of the Yalta agreement, in Poland, Rumania, and Bulgaria.","The United States Government has made regular demonstrations in Poland, Romania, and Bulgaria against violence and intimidation, in breach of the Yalta Agreement.","The Government of the United States has frequently protested against coercion and intimidation, in violation of the Yalta Agreement, in Poland, Romania and Bulgaria."
I must also state that in a number of other countries there have been similar developments.,I would also note that there have been similar developments in a number of other countries.,I must also point out that similar developments have taken place in a number of other countries.
At the present moment in world history nearly every nation must choose between alternative ways of life.,"At the present time in world history, almost every nation must choose between alternative ways of life.","At the present time in world history, almost every nation must choose between alternative ways of life."
The choice is too often not a free one.,"Too often, the choice is not a free one.","Too often, the choice is not a free one."
"One way of life is based upon the will of the majority, and is distinguished by free institutions, representative government, free elections, guarantees of individual liberty, freedom of speech and religion, and freedom from political oppression.","One way of life is founded on majority will, and is characterized by democratic institutions, representative government, free elections, guarantees of human rights, freedom of expression and religion, and freedom from political exploitation.","One way of life is based on the will of the majority and distinguishes between free institutions, representative government, free elections, guarantees of individual freedom, freedom of speech and religion and freedom from political oppression."
The second way of life is based upon the will of a minority forcibly imposed upon the majority.,The second way of life is based on a minority's will placed by force upon the majority.,The second way of life is based on a minority's will placed by force upon the majority.
"It relies upon terror and oppression, a controlled press and radio; fixed elections, and the suppression of personal freedoms.","It relies on terror and violence, a press and radio dominated, set elections and the repression of personal freedoms.","It relies on terror and oppression, controlled media and radio, fixed elections and the suppression of personal freedoms."
I believe that it must be the policy of the United States to support free peoples who are resisting attempted subjugation by armed minorities or by outside pressures.,I believe that it must be the policy of the United States to support free people who are resisting attempted subjugation by armed minorities or by outside pressure.,I believe that it must be the policy of the United States to support free people who are resisting attempted subjugation by armed minorities or by outside pressure.
I believe that we must assist free peoples to work out their own destinies in their own way.,I believe that we must help free people to work out their own destiny in their own way.,I believe that we must help free people to work out their own destiny in their own way.
I believe that our help should be primarily through economic and financial aid which is essential to economic stability and orderly political processes.,I believe our assistance should be mainly through economic and financial assistance which is necessary for economic stability and stable political processes.,"I believe that our assistance should be primarily through economic and financial support, which is essential for economic stability and orderly political processes."
"The world is not static, and the status quo is not sacred.","The universe isn't static, neither is the status quo sacred.","The universe isn't static, neither is the status quo sacred."
"But we cannot allow changes in the status quo in violation of the Charter of the United Nations by such methods as coercion, or by such subterfuges as political infiltration.","Yet we can not accept improvements in the status quo in violation of the United Nations Charter by strategies such as intimidation, or through subterfuges such as political infiltration.","However, we can not allow changes to the status quo in violation of the Charter of the United Nations by means of methods such as coercion or subterfuges such as political infiltration."
"In helping free and independent nations to maintain their freedom, the United States will be giving effect to the principles of the Charter of the United Nations.","In helping free and independent nations to maintain their freedom, the United States will give effect to the principles of the Charter of the United Nations.","In helping free and independent nations to maintain their freedom, the United States will give effect to the principles of the Charter of the United Nations."
It is necessary only to glance at a map to realize that the survival and integrity of the Greek nation are of grave importance in a much wider situation.,It is only important to look at a map to know that in a far wider situation the existence and dignity of the Greek nation is of extreme importance.,It is only necessary to look at the map to see that the survival and integrity of the Greek nation are of serious importance in a much wider situation.
"If Greece should fall under the control of an armed minority, the effect upon its neighbor, Turkey, would be immediate and serious.","If Greece were to come under the rule of an armed group, the consequence would be immediate and serious for its neighbor, Turkey.","If Greece were to fall under the control of an armed minority, the effect on its neighbor, Turkey, would be immediate and serious."
Confusion and disorder might well spread throughout the entire Middle East.,Confusion and disorder may well spread throughout the Middle East.,Confusion and disorder may well spread throughout the Middle East.
"Moreover, the disappearance of Greece as an independent state would have a profound effect upon those countries in Europe whose peoples are struggling against great difficulties to maintain their freedoms and their independence while they repair the damages of war.","Furthermore, Greece's collapse as an independent state would have a profound impact on those countries in Europe whose peoples are struggling to preserve their freedoms and independence while restoring war damage.","Moreover, the disappearance of Greece as an independent state would have a profound effect on those countries in Europe whose people are struggling to maintain their freedoms and independence while repairing the damage caused by the war."
"It would be an unspeakable tragedy if these countries, which have struggled so long against overwhelming odds, should lose that victory for which they sacrificed so much.","It would be an unspeakable tragedy if those nations, which have so long fought against daunting odds, were to lose the victory they suffered so much for.","It would be an unspeakable tragedy if those countries, which have struggled so long against overwhelming odds, were to lose the victory for which they have sacrificed so much."
Collapse of free institutions and loss of independence would be disastrous not only for them but for the world.,"The collapse of free institutions and the loss of independence would be disastrous not only for them, but also for the world.","The collapse of free institutions and the loss of independence would be disastrous not only for them, but also for the world."
Discouragement and possibly failure would quickly be the lot of neighboring peoples striving to maintain their freedom and independence.,Discouragement and likely defeat will be the lot of neighboring communities struggling to maintain their freedom and independence quickly.,"Discouragement and, possibly, failure would quickly be the lot of neighboring people striving to maintain their freedom and independence."
"Should we fail to aid Greece and Turkey in this fateful hour, the effect will be far reaching to the West as well as to the East.","If we fail in that fateful hour to support Greece and Turkey, the impact would be far-reaching to both the West and the East.","If we fail in that fateful hour to support Greece and Turkey, the impact would be far-reaching to both the West and the East."
We must take immediate and resolute action.,We need to take timely and determined action.,We need to take immediate and determined action.
"I therefore ask the Congress to provide authority for assistance to Greece and Turkey in the amount of $400,000,000 for the period ending June 30, 1948.","I therefore call on the Congress to grant assistance to Greece and Turkey in the amount of $400,000,000 for the period ending on 30 June 1948.","I therefore call on the Congress to grant assistance to Greece and Turkey in the amount of $400,000,000 for the period ending on 30 June 1948."
"In requesting these funds, I have taken into consideration the maximum amount of relief assistance which would be furnished to Greece out of the $350,000,000 which I recently requested that the Congress authorize for the prevention of starvation and suffering in countries devastated by the war.","When calling for such funds, I took into account the full amount of funding that would be given to Greece out of the $350,000,000 that I previously asked Congress to approve when war-torn countries for the prevention of hunger and misery.","In applying for these funds, I have taken into account the maximum amount of assistance that would be provided to Greece out of the $350,000,000 that I have recently asked the Congress to authorize for the prevention of starvation and suffering in war-torn countries."
"In addition to funds, I ask the Congress to authorize the detail of American civilian and military personnel to Greece and Turkey, at the request of those countries, to assist in the tasks of reconstruction, and for the purpose of supervising the use of such financial and material assistance as may be furnished.","Besides funding, I ask Congress to approve, at the request of those countries, the details of American civilian and military personnel to Greece and Turkey to assist in the reconstruction tasks and to supervise the use of as much financial and material assistance as may be given.","In addition to the funds, I would ask the Congress to authorize, at the request of those countries, the details of American civilian and military personnel to assist in the reconstruction work of Greece and Turkey and to supervise the use of the financial and material assistance that may be provided."
I recommend that authority also be provided for the instruction and training of selected Greek and Turkish personnel.,I also recommend that authority be given for the training and instruction of selected Greek and Turkish staff.,I also recommend that the authority be provided for the training and training of selected Greek and Turkish personnel.
"Finally, I ask that the Congress provide authority which will permit the speediest and most effective use, in terms of needed commodities, supplies, and equipment, of such funds as may be authorized.","Finally, I ask Congress to provide authority which will enable the speediest and most effective use of such funds as may be allowed in terms of essential goods, supplies and equipment.","Finally, I ask Congress to provide authority which will enable the speediest and most effective use of such funds as may be allowed in terms of essential goods, supplies and equipment."
"If further funds, or further authority, should be needed for purposes indicated in this message, I shall not hesitate to bring the situation before the Congress.","If additional funds, or additional authority, are needed for the purposes set out in this letter, I will not hesitate to bring the situation before Congress.","If further funding or additional authority is needed for the purposes indicated in this message, I shall not hesitate to bring the situation before the Congress."
On this subject the Executive and Legislative branches of the Government must work together.,The Executive and Legislative branches of the Government must work together on this issue.,The Executive and Legislative branches of the Government must work together on this issue.
This is a serious course upon which we embark.,That is a dangerous path that we are embarking on.,This is a serious course that we are embarking on.
I would not recommend it except that the alternative is much more serious.,I wouldn't recommend that if the alternative is much more extreme.,I wouldn't recommend that if the alternative is much more extreme.
"The United States contributed $341,000,000,000 toward winning World War II.","The U.S. spent $341,000,000,000 to win World War II.","The U.S. spent $341,000,000,000 to win World War II."
This is an investment in world freedom and world peace.,It is an investment in world liberty and world peace.,It is an investment in world liberty and world peace.
The assistance that I am recommending for Greece and Turkey amounts to little more than 1 tenth of 1 per cent of this investment.,The help I propose for Greece and Turkey amounts to just over 1 tenth of 1 per cent of this sum.,The assistance that I recommend to Greece and Turkey amounts to little more than 1 tenth of 1% of this investment.
It is only common sense that we should safeguard this investment and make sure that it was not in vain.,It is only common sense that we should safeguard this investment and ensure that it is not in vain.,It is only common sense that we should safeguard this investment and ensure that it is not in vain.
The seeds of totalitarian regimes are nurtured by misery and want.,The seeds of totalitarian regimes are nurtured by poverty and want.,The seeds of totalitarian regimes are nurtured by poverty and want.
They spread and grow in the evil soil of poverty and strife.,They spread and grow in the evil soil of poverty and conflict.,They spread and grow in the evil soil of poverty and conflict.
They reach their full growth when the hope of a people for a better life has died.,"When a people's hope for a better life has died, they attain their maximum growth.",They reach their full growth when people's hopes for a better life have died.
We must keep that hope alive.,We have to keep the dream alive.,We have to keep the dream alive.
The free peoples of the world look to us for support in maintaining their freedoms.,The world's free peoples look to us for help in protecting their freedoms.,The world's free peoples look to us for help in protecting their freedoms.
"If we falter in our leadership, we may endanger the peace of the world -- and we shall surely endanger the welfare of our own nation.","If we falter in our leadership, we could endanger the world's peace — and we will definitely endanger our own nation's welfare.","If we falter in our leadership, we may endanger the peace of the world — and surely endanger the welfare of our own nation."
Great responsibilities have been placed upon us by the swift movement of events.,The rapid movement of events has placed great responsibility on us.,The rapid movement of events has placed great responsibility on us.
I am confident that the Congress will face these responsibilities squarely.,I am confident that the Congress will face up to these responsibilities.,I am confident that the Congress will face up to these responsibilities.
